Brigade Name,City,State,Meetup URL,"Meetup ""members"" ",most recent Meetup,RSVPs,comment,Mtg frequency
Code for Anchorage,Anchorage,AK,https://www.meetup.com/Code-for-Anchorage,284,11/10/20,2,hack night,monthly
Code for Phoenix,Phoenix,AZ,https://www.meetup.com/CodeforPhoenix/,303,10/13/20,2,Brigade Congress,irregular
Code for Tucson,Tucson,AZ,https://www.meetup.com/Code-for-Tucson/,1052,11/4/20,3,Code class,irregular
Code for Fresno,Fresno,CA,https://www.meetup.com/Code-for-Fresno/,182,9/12/20,4,NDOCH,irregular
Code for Sacramento,Sacramento,CA,https://www.meetup.com/Code4Sac,2.023,11/20/20,4,speaker,monthly plus
Code for San Francisco,San Francisco,CA,https://www.meetup.com/Code-for-San-Francisco-Civic-Hack-Night/,"6,322",11/18/20,10,hack night,monthly
Code for San Jose,San Jose,CA,https://www.meetup.com/Code-for-San-Jose,"3,178",11/19/20,23,hack night,bi-weekly
Code for Sonoma County,Santa Rosa,CA,https://www.meetup.com/Code-for-Sonoma-County/,77,5/5/20,2,meeting,irregular
Hack for LA Brigade,Los Angeles,CA,https://www.meetup.com/hackforla/,"4,986",11/17/20,3,happy hour,>2x/week
Open Oakland,Oakland,CA,https://www.meetup.com/OpenOakland/,"2,281",11/17/20,11,hack night,weekly
Open San Diego,San Diego,CA,https://www.meetup.com/Open-San-Diego,"1,194",11/17/20,23,project night,2-4x/month
Code for Boulder,Boulder,CO,https://www.meetup.com/codeforboulder/,"1,154",11/9/20,6,project night,weekly
Code for Denver,Denver,CO,https://www.meetup.com/CodeForDenver/,"2,838",11/16/20,12,project night,bi-weekly
Code for Fort Collins,Fort Collins,CO,https://www.meetup.com/Code-for-Fort-Collins/,421,11/19/20,7,project night,monthly
Code for Connecticut,Hartford,CT,https://www.meetup.com/Code-for-Connecticut/,149,3/5/20,12,hack night,dormant?
Code for DC,Washington,DC,https://www.meetup.com/Code-for-DC,"5,727",11/12/20,31,hack night,2x/month
Open Data Delaware,Wilmington,DE,https://www.meetup.com/Open-Data-Delaware/,"1,045",11/17/20,4,project night,monthly
Code for Gainesville,Gainesville,FL,https://www.meetup.com/Code-for-Gainesville/,315,10/13/20,6,meeting,irregular
Code for Fort Lauderdale,Fort Lauderdale,FL,https://www.meetup.com/Code-for-FTL/,"2,778",10/21/20,23,hack night,monthly
Code for Miami,Miami,FL,https://www.meetup.com/code-for-miami/,"1,220",6/25/20,11,hack night,1-2x/month
Code for Orlando,Orlando,FL,https://www.meetup.com/Code-For-Orlando/,"2,440",11/5/20,14,action night,monthly
Code for Tallahassee,Tallahassee,FL,https://www.meetup.com/code-for-tallahassee/,155,12/16/19,13,pair programming,dormant?
Code for Tampa Bay,Tampa Bay,FL,https://www.meetup.com/Code-for-Tampa-Bay-Brigade/,"1,102",9/17/20,9,meetup ,monthly
Code for Atlanta,Atlanta,GA,https://www.meetup.com/codeforatlanta/,"3,545",11/10/20,10,meetup,monthly
Open Savannah,Savannah,GA,https://www.meetup.com/opensavannah/,500,6/10/20,3,action night ,dormant?
Code for Hawaii,Honolulu,HI,https://www.meetup.com/Code-for-Hawaii/,406,11/16/20,10,project night,weekly(?)
Last Updated: Sat Aug 08 2020,Available At:,http://c4a.me/brigades,,,,,,
Code for Iowa,Iowa City,IA,https://www.meetup.com/Code-for-Iowa/,123,8/11/18,7,NDOCH,dormant?
Open Boise,Boise,ID,https://www.meetup.com/boisebrigade/,621,6/29/19,21,demo day,irregular
Code for Chicago,Chicago,IL,https://www.meetup.com/code-for-chicago/,980,11/19/20,6,project night ,2x/month
Open Columbus (Indiana),Columbus,IN,no meetup act,,,,,
Code for Bloomington,Bloomington,IN,https://www.meetup.com/Code-for-Bloomington-BMG-Hack/,100,2/22/20,39,hackathon - data challenge,irregular
Code for Indianapolis,Indianapolis,IN,https://www.meetup.com/Code-for-Indianapolis/,192,4/28/20,3,hack night,irregular
Hack Michiana,South Bend,IN,https://www.meetup.com/Hack-Michiana/,771,8/8/19,5,meetuup,dormant?
Code for Kentuckiana,Louisville,KY,https://www.meetup.com/codeforkyana/,706,3/7/20,14,Open Data Day,irregular
Code for New Orleans,New Orleans,LA,https://www.meetup.com/Code-For-New-Orleans/,599,11/12/20,10,hack night,monthly
Code for Worcester,Worcester,MA,no meetup act,,,,,
Code for Boston,Boston,MA,https://www.meetup.com/Code-for-Boston/,"6,681",11/17/20,22,hack night ,weekly
Code for Baltimore,Baltimore,MD,https://www.meetup.com/Code-for-Baltimore/,"1,995",9/12/20,11,NDOCH,irregular
Open Maine,Portland,ME,https://www.meetup.com/OpenMaine/,419,11/19/20,11,meetup,monthly
Code for Lansing,Lansing,MI,https://www.meetup.com/Code-for-Lansing/,114,11/18/20,2,meetup,weekly
Open Twin Cities,Minneapolis,MN,https://www.meetup.com/OpenTwinCities/,789,11/10/13,13,meetup,monthly
KC Digital Drive,Kansas City,MO,https://www.meetup.com/KCBrigade/,"1,861",11/16/20,7,meetup,monthly
OpenSTL,St. Louis,MO,https://www.meetup.com/OpenSTL,"1,325",11/13/20,6,hack night,2x/month
Code for Montana,Missoula,MT,https://www.meetup.com/Code-for-Montana/,65,10/13/20,2,Brigade Congress,irregular
Code for Asheville,Asheville,NC,https://www.meetup.com/Code-for-Asheville/,720,11/12/20,10,meetup,monthly
Code for Cary,Cary,NC,https://www.meetup.com/Triangle-Code-for-America/,"2,013",11/17/20,5,meetup,weekly
Code for Greensboro,Greensboro,NC,https://www.meetup.com/Code-for-Greensboro/,"1,355",9/12/20,9,NDOCH,irregular
Open Charlotte Brigade,Charlotte,NC,https://www.meetup.com/Open-Charlotte-Brigade/,"1,120",12/11/19,7,end of yr social,dormant?
Code for New Hampshire,Manchester,NH,https://www.meetup.com/codefornh/,157,9/12/20,7,NDOCH,irregular
Code for Hackensack,Hackensack,NJ,https://www.meetup.com/Code-for-Hackensack/,39,9/20/19,7,NJ Summit,dormant?
Code for Jersey City,Jersey City,NJ,https://www.meetup.com/Code-For-Jersey-City/,792,9/12/20,1,NDOCH,irregular
Code for Newark,Newark,NJ,https://www.meetup.com/Code-for-Newark/,"1,129",11/6/20,1,drinks w/devs,monthly
Code for ABQ,Albuquerque,NM,https://www.meetup.com/Code-for-ABQ,384,9/12/20,4,NDOCH,irregular
Code for Las Vegas,Las Vegas,NV,https://www.meetup.com/Code-for-Las-Vegas/,163,2/17/16,6,Project night,dormant?
BetaNYC,New York,NY,https://www.meetup.com/betanyc/,"5,745",11/18/20,17,community hours,monthly plus
Code for Buffalo,Buffalo,NY,https://www.meetup.com/CodeForBuffalo/,335,10/22/20,8,hack night ,monthly
Code for Syracuse,Syracuse,NY,https://www.meetup.com/Code-for-Syracuse/,194,10/27/20,10,hack night ,monthly
Code for Dayton,Dayton,OH,https://www.meetup.com/Code-for-Dayton/,963,11/11/20,5,puzzle night,irregular
Open Cleveland,Cleveland,OH,https://www.meetup.com/open-cleveland/,1.121,10/21/20,4,hack night,monthly
Open Columbus (Ohio),Columbus,OH,https://www.meetup.com/OpenColumbus/,"1,037",11/10/20,9,work night,monthly
Open Toledo,Toledo,OH,https://www.meetup.com/Open-Toledo/,238,4/2/20,4,meetup,dormant?
Code for Muskogee,Muskogee,OK,https://www.meetup.com/Code-for-Muskogee/,164,11/9/20,1,hack night,monthly
Code for Tulsa,Tulsa,OK,https://www.meetup.com/Code-for-Tulsa/,956,11/16/20,18,combined meetup,monthly
Code for PDX,Portland,OR,https://www.meetup.com/Code-for-PDX/,1.058,11/11/20,14,demo night,monthly
Open Eugene,Eugene,OR,https://www.meetup.com/Open-Eugene/,118,11/21/20,4,Hack to give thanks  (collaborative event) ,2x/week 
Code for Philly,Philadelphia,PA,https://www.meetup.com/Code-for-Philly/,"4,537",10/27/20,31,project showcase,monthly plus
Code for Pittsburgh,Pittsburgh,PA,https://www.meetup.com/codeforpgh/,"1,630",11/13/20,7,hack night,2-5x/month
Code for Puerto Rico,San Juan,PR,https://www.meetup.com/code-for-puerto-rico/,8,none,,,
Code Island,Providence,RI,https://www.meetup.com/Rhode-Island-Code-for-America-Brigade/,464,11/30/17,20,kickoff followup,dormant?
Code for Greenville,Greenville,SC,https://www.meetup.com/Code-for-Greenville/,292,11/3/20,5,work night,monthly
,,,,,,,,
Code for Nashville,Nashville,TN,https://www.meetup.com/code-for-nashville/,"2,742",11/16/20,20,hack night,bi-weekly
Code for BCS,Bryan-College Station,TX,https://www.meetup.com/CodeforBCS/,108,9/4/19,7,hack night ,dormant?
Code for Dallas,Dallas,TX,https://www.meetup.com/Code-for-Dallas/,224,11/12/20,7,meeetup,monthly
Open Austin,Austin,TX,https://www.meetup.com/Open-Austin/,"3,021",11/11/20,28,action night ,monthly
Sketch City (Houston),Houston,TX,https://www.meetup.com/sketchcity/,"3,610",9/23/20,8,project night,irregular
Code for Utah,Salt Lake City,UT,https://www.meetup.com/Open-Salt-Lake/,472,9/12/20,4,NDOCH,irregular
Code for Charlottesville,Charlottesville,VA,https://www.meetup.com/Code-for-Charlottesvile/,308,11/21/20,27,join core team (?),irregular
Code for Hampton Roads,Virginia Beach,VA,https://www.meetup.com/Code4HR,484,6/18/19,8,hack night,dormant?
Code for New River Valley,Radford,VA,https://www.meetup.com/CodeForNRV,254,9/12/20,1,NDOCH,irregular
Code for NoVA,Alexandria,VA,https://www.meetup.com/Code-for-NoVA/,"1,046",3/5/20,1,meetup,irregular
Code for BTV,Burlington,VT,https://www.meetup.com/CodeForBTV/,734,11/10/20,5,hack lunch,bi-weekly
Code for Upper Valley,Bradford,VT,????????????????,,,,,
Open Seattle,Seattle,WA,https://www.meetup.com/openseattle/,3.496,9/30/20,16,community build (also collaborated on Hack to Give Thanks 11/21/20) ,monthly
Code for Milwaukee,Milwaukee,WI,https://www.meetup.com/Code-for-Milwaukee/,681,11/19/20200,15,social,irregular