location_id,country,province,region_1,region_2
1,Argentina,Mendoza Province,Agrelo,NA
2,Argentina,Mendoza Province,Altos de Mendoza,NA
3,Argentina,Mendoza Province,La Consulta,NA
4,Argentina,Mendoza Province,Luján de Cuyo,NA
5,Argentina,Mendoza Province,Maipú,NA
6,Argentina,Mendoza Province,Medrano,NA
7,Argentina,Mendoza Province,Mendoza,NA
8,Argentina,Mendoza Province,Perdriel,NA
9,Argentina,Mendoza Province,San Carlos,NA
10,Argentina,Mendoza Province,San Rafael,NA
11,Argentina,Mendoza Province,Tupungato,NA
12,Argentina,Mendoza Province,Uco Valley,NA
13,Argentina,Mendoza Province,Valle de Uco,NA
14,Argentina,Mendoza Province,Vista Flores,NA
15,Argentina,Mendoza Province,NA,NA
16,Argentina,Other,Alto Valle del Río Negro,NA
17,Argentina,Other,Argentina,NA
18,Argentina,Other,Buenos Aires,NA
19,Argentina,Other,Cafayate,NA
20,Argentina,Other,Calchaquí Valley,NA
21,Argentina,Other,Catamarca,NA
22,Argentina,Other,Famatina Valley,NA
23,Argentina,Other,Jujuy,NA
24,Argentina,Other,La Rioja,NA
25,Argentina,Other,Neuquén,NA
26,Argentina,Other,Patagonia,NA
27,Argentina,Other,Pedernal Valley,NA
28,Argentina,Other,Río Negro Valley,NA
29,Argentina,Other,Salta,NA
30,Argentina,Other,San Juan,NA
31,Argentina,Other,Tulum Valley,NA
32,Argentina,Other,Zonda Valley,NA
33,Armenia,Armenia,NA,NA
34,Australia,Australia Other,Australia,NA
35,Australia,Australia Other,Australia-New Zealand,NA
36,Australia,Australia Other,Central Ranges,NA
37,Australia,Australia Other,South Eastern Australia,NA
38,Australia,New South Wales,Gundagai,NA
39,Australia,New South Wales,Hilltops,NA
40,Australia,New South Wales,Hunter Valley,NA
41,Australia,New South Wales,Mudgee,NA
42,Australia,New South Wales,New South Wales,NA
43,Australia,New South Wales,Orange,NA
44,Australia,New South Wales,Riverina,NA
45,Australia,New South Wales,Southern Highlands,NA
46,Australia,New South Wales,Tumbarumba,NA
47,Australia,New South Wales,Western Plains,NA
48,Australia,South Australia,Adelaide,NA
49,Australia,South Australia,Adelaide Hills,NA
50,Australia,South Australia,Adelaide Plains,NA
51,Australia,South Australia,Barossa,NA
52,Australia,South Australia,Barossa Valley,NA
53,Australia,South Australia,Barossa-Adelaide Hills,NA
54,Australia,South Australia,Barossa-Langhorne Creek,NA
55,Australia,South Australia,Clare Valley,NA
56,Australia,South Australia,Clare Valley-Coonawarra,NA
57,Australia,South Australia,Clare Valley-Eden Valley,NA
58,Australia,South Australia,Clarendon,NA
59,Australia,South Australia,Coonawarra,NA
60,Australia,South Australia,Currency Creek,NA
61,Australia,South Australia,Currency Creek-McLaren Vale,NA
62,Australia,South Australia,Eden Valley,NA
63,Australia,South Australia,Fleurieu Peninsula,NA
64,Australia,South Australia,Henty,NA
65,Australia,South Australia,Kangaroo Island,NA
66,Australia,South Australia,Langhorne Creek,NA
67,Australia,South Australia,Langhorne Creek-Limestone Coast,NA
68,Australia,South Australia,Lenswood,NA
69,Australia,South Australia,Limestone Coast,NA
70,Australia,South Australia,McLaren Vale,NA
71,Australia,South Australia,McLaren Vale-Adelaide Hills,NA
72,Australia,South Australia,McLaren Vale-Langhorne Creek,NA
73,Australia,South Australia,McLaren Vale-Padthaway,NA
74,Australia,South Australia,Padthaway,NA
75,Australia,South Australia,Piccadilly Valley,NA
76,Australia,South Australia,Riverland,NA
77,Australia,South Australia,South Australia,NA
78,Australia,South Australia,Southern Fleurieu,NA
79,Australia,South Australia,Southern Flinders Ranges,NA
80,Australia,South Australia,Wrattonbully,NA
81,Australia,South Australia,NA,NA
82,Australia,Tasmania,Tasmania,NA
83,Australia,Victoria,Alpine Valleys,NA
84,Australia,Victoria,Beechworth,NA
85,Australia,Victoria,Bendigo,NA
86,Australia,Victoria,Central Victoria,NA
87,Australia,Victoria,Geelong,NA
88,Australia,Victoria,Gippsland,NA
89,Australia,Victoria,Goulburn Valley,NA
90,Australia,Victoria,Grampians,NA
91,Australia,Victoria,Heathcote,NA
92,Australia,Victoria,King Valley,NA
93,Australia,Victoria,Mornington Peninsula,NA
94,Australia,Victoria,Murray-Darling,NA
95,Australia,Victoria,Nagambie Lakes,NA
96,Australia,Victoria,Pyrenees,NA
97,Australia,Victoria,Rutherglen,NA
98,Australia,Victoria,Strathbogie Ranges,NA
99,Australia,Victoria,Swan Hill,NA
100,Australia,Victoria,Victoria,NA
101,Australia,Victoria,Yarra Valley,NA
102,Australia,Western Australia,Frankland River,NA
103,Australia,Western Australia,Geographe,NA
104,Australia,Western Australia,Great Southern,NA
105,Australia,Western Australia,Margaret River,NA
106,Australia,Western Australia,Mount Barker,NA
107,Australia,Western Australia,Mount Barker & Margaret River,NA
108,Australia,Western Australia,Pemberton,NA
109,Australia,Western Australia,Western Australia,NA
110,Austria,Austria,NA,NA
111,Austria,Burgenland,NA,NA
112,Austria,Carnuntum,NA,NA
113,Austria,Eisenberg,NA,NA
114,Austria,Kamptal,NA,NA
115,Austria,Kremstal,NA,NA
116,Austria,Leithaberg,NA,NA
117,Austria,Mittelburgenland,NA,NA
118,Austria,Neusiedlersee,NA,NA
119,Austria,Niederösterreich,NA,NA
120,Austria,Österreichischer Perlwein,NA,NA
121,Austria,Österreichischer Sekt,NA,NA
122,Austria,Steiermark,NA,NA
123,Austria,Südburgenland,NA,NA
124,Austria,Südoststeiermark,NA,NA
125,Austria,Südsteiermark,NA,NA
126,Austria,Thermenregion,NA,NA
127,Austria,Traisental,NA,NA
128,Austria,Vienna,NA,NA
129,Austria,Wachau,NA,NA
130,Austria,Wagram,NA,NA
131,Austria,Wagram-Donauland,NA,NA
132,Austria,Weinland Österreich,NA,NA
133,Austria,Weinviertel,NA,NA
134,Austria,Wiener Gemischter Satz,NA,NA
135,Bosnia and Herzegovina,Mostar,NA,NA
136,Brazil,Brazil,NA,NA
137,Brazil,Campanha,NA,NA
138,Brazil,Pinto Bandeira,NA,NA
139,Brazil,Santa Catarina,NA,NA
140,Brazil,Serra do Sudeste,NA,NA
141,Brazil,Serra Gaúcha,NA,NA
142,Brazil,Vale dos Vinhedos,NA,NA
143,Brazil,Vale Trentino,NA,NA
144,Bulgaria,Black Sea Coastal,NA,NA
145,Bulgaria,Bulgaria,NA,NA
146,Bulgaria,Danube River Plains,NA,NA
147,Bulgaria,Thracian Valley,NA,NA
148,Canada,British Columbia,British Columbia,NA
149,Canada,British Columbia,Okanagan Valley,NA
150,Canada,British Columbia,Similkameen Valley,NA
151,Canada,Canada Other,Canada,NA
152,Canada,Ontario,Beamsville Bench,NA
153,Canada,Ontario,Lake Erie North Shore,NA
154,Canada,Ontario,Niagara Escarpment,NA
155,Canada,Ontario,Niagara Peninsula,NA
156,Canada,Ontario,Niagara-On-The-Lake,NA
157,Canada,Ontario,Prince Edward County,NA
158,Canada,Ontario,Short Hills Bench,NA
159,Canada,Ontario,St. David's Bench,NA
160,Chile,Aconcagua Costa,NA,NA
161,Chile,Aconcagua Valley,NA,NA
162,Chile,Apalta,NA,NA
163,Chile,Bío Bío Valley,NA,NA
164,Chile,Buin,NA,NA
165,Chile,Cachapoal Valley,NA,NA
166,Chile,Casablanca & Leyda Valleys,NA,NA
167,Chile,Casablanca Valley,NA,NA
168,Chile,Casablanca-Curicó Valley,NA,NA
169,Chile,Cauquenes Valley,NA,NA
170,Chile,Central Valley,NA,NA
171,Chile,Chile,NA,NA
172,Chile,Choapa Valley,NA,NA
173,Chile,Coelemu,NA,NA
174,Chile,Colchagua Costa,NA,NA
175,Chile,Colchagua Valley,NA,NA
176,Chile,Curicó and Leyda Valleys,NA,NA
177,Chile,Curicó and Maipo Valleys,NA,NA
178,Chile,Curicó Valley,NA,NA
179,Chile,Elqui Valley,NA,NA
180,Chile,Itata Valley,NA,NA
181,Chile,Leyda Valley,NA,NA
182,Chile,Leyda Valley-Maipo Valley,NA,NA
183,Chile,Limarí Valley,NA,NA
184,Chile,Lolol Valley,NA,NA
185,Chile,Loncomilla Valley,NA,NA
186,Chile,Lontué Valley,NA,NA
187,Chile,Maipo Valley,NA,NA
188,Chile,Maipo Valley-Colchagua Valley,NA,NA
189,Chile,Malleco,NA,NA
190,Chile,Marchigue,NA,NA
191,Chile,Maule Valley,NA,NA
192,Chile,Molina,NA,NA
193,Chile,Peumo,NA,NA
194,Chile,Pirque,NA,NA
195,Chile,Puente Alto,NA,NA
196,Chile,Rapel Valley,NA,NA
197,Chile,Requinoa,NA,NA
198,Chile,Rio Claro,NA,NA
199,Chile,Sagrada Familia,NA,NA
200,Chile,San Antonio,NA,NA
201,Chile,San Clemente,NA,NA
202,Chile,Santa Cruz,NA,NA
203,China,China,NA,NA
204,Croatia,Croatia,NA,NA
205,Croatia,Dalmatian Coast,NA,NA
206,Croatia,Dingač,NA,NA
207,Croatia,Hrvatsko Primorje,NA,NA
208,Croatia,Hvar,NA,NA
209,Croatia,Istria,NA,NA
210,Croatia,Korčula,NA,NA
211,Croatia,Krk,NA,NA
212,Croatia,Kutjevo,NA,NA
213,Croatia,Middle and South Dalmatia,NA,NA
214,Croatia,North Dalmatia,NA,NA
215,Croatia,Peljesac,NA,NA
216,Croatia,Podunavlje,NA,NA
217,Cyprus,Commandaria,NA,NA
218,Cyprus,Cyprus,NA,NA
219,Cyprus,Kathikas,NA,NA
220,Cyprus,Lemesos,NA,NA
221,Cyprus,Pafos,NA,NA
222,Cyprus,Pitsilia Mountains,NA,NA
223,Czech Republic,Moravia,NA,NA
224,Egypt,Egypt,NA,NA
225,England,England,NA,NA
226,France,Alsace,Alsace,NA
227,France,Alsace,Crémant d'Alsace,NA
228,France,Beaujolais,Beaujolais,NA
229,France,Beaujolais,Beaujolais Blanc,NA
230,France,Beaujolais,Beaujolais Rosé,NA
231,France,Beaujolais,Beaujolais-Leynes,NA
232,France,Beaujolais,Beaujolais-Villages,NA
233,France,Beaujolais,Brouilly,NA
234,France,Beaujolais,Chénas,NA
235,France,Beaujolais,Chiroubles,NA
236,France,Beaujolais,Côte de Brouilly,NA
237,France,Beaujolais,Coteaux du Lyonnais,NA
238,France,Beaujolais,Fleurie,NA
239,France,Beaujolais,Juliénas,NA
240,France,Beaujolais,Morgon,NA
241,France,Beaujolais,Moulin-à-Vent,NA
242,France,Beaujolais,Régnié,NA
243,France,Beaujolais,Saint-Amour,NA
244,France,Bordeaux,Barsac,NA
245,France,Bordeaux,Blaye Côtes de Bordeaux,NA
246,France,Bordeaux,Bordeaux,NA
247,France,Bordeaux,Bordeaux Blanc,NA
248,France,Bordeaux,Bordeaux Clairet,NA
249,France,Bordeaux,Bordeaux Côtes de Francs,NA
250,France,Bordeaux,Bordeaux Rosé,NA
251,France,Bordeaux,Bordeaux Supérieur,NA
252,France,Bordeaux,Cadillac,NA
253,France,Bordeaux,Cadillac Côtes de Bordeaux,NA
254,France,Bordeaux,Canon-Fronsac,NA
255,France,Bordeaux,Castillon Côtes de Bordeaux,NA
256,France,Bordeaux,Cérons,NA
257,France,Bordeaux,Côtes de Bordeaux,NA
258,France,Bordeaux,Côtes de Bourg,NA
259,France,Bordeaux,Côtes de Castillon,NA
260,France,Bordeaux,Crémant de Bordeaux,NA
261,France,Bordeaux,Entre-Deux-Mers,NA
262,France,Bordeaux,Francs Côtes de Bordeaux,NA
263,France,Bordeaux,Fronsac,NA
264,France,Bordeaux,Graves,NA
265,France,Bordeaux,Haut-Médoc,NA
266,France,Bordeaux,Lalande de Pomerol,NA
267,France,Bordeaux,Listrac-Médoc,NA
268,France,Bordeaux,Lussac Saint-Émilion,NA
269,France,Bordeaux,Margaux,NA
270,France,Bordeaux,Médoc,NA
271,France,Bordeaux,Montagne-Saint-Émilion,NA
272,France,Bordeaux,Moulis,NA
273,France,Bordeaux,Moulis-en-Médoc,NA
274,France,Bordeaux,Pauillac,NA
275,France,Bordeaux,Pessac-Léognan,NA
276,France,Bordeaux,Pomerol,NA
277,France,Bordeaux,Premieres Côtes de Blaye,NA
278,France,Bordeaux,Premieres Côtes de Bordeaux,NA
279,France,Bordeaux,Puisseguin Saint-Émilion,NA
280,France,Bordeaux,Saint-Croix-du-Mont,NA
281,France,Bordeaux,Saint-Émilion,NA
282,France,Bordeaux,Saint-Estèphe,NA
283,France,Bordeaux,Saint-Georges-Saint-Émilion,NA
284,France,Bordeaux,Saint-Julien,NA
285,France,Bordeaux,Sainte-Foy Bordeaux,NA
286,France,Bordeaux,Sauternes,NA
287,France,Bordeaux,Vin de Pays de l'Atlantique,NA
288,France,Bordeaux,NA,NA
289,France,Burgundy,Aloxe-Corton,NA
290,France,Burgundy,Auxey-Duresses,NA
291,France,Burgundy,Bâtard-Montrachet,NA
292,France,Burgundy,Beaune,NA
293,France,Burgundy,Bienvenues Bâtard-Montrachet,NA
294,France,Burgundy,Bonnes-Mares,NA
295,France,Burgundy,Bourgogne,NA
296,France,Burgundy,Bourgogne Aligoté,NA
297,France,Burgundy,Bourgogne Côtes d’Auxerre,NA
298,France,Burgundy,Bourgogne Epineuil,NA
299,France,Burgundy,Bourgogne Gamay,NA
300,France,Burgundy,Bourgogne Hautes Côtes de Beaune,NA
301,France,Burgundy,Bourgogne Hautes Côtes de Nuits,NA
302,France,Burgundy,Bourgogne Vézelay,NA
303,France,Burgundy,Burgundy,NA
304,France,Burgundy,Chablis,NA
305,France,Burgundy,Chambertin,NA
306,France,Burgundy,Chambertin Clos de Bèze,NA
307,France,Burgundy,Chambolle-Musigny,NA
308,France,Burgundy,Chapelle-Chambertin,NA
309,France,Burgundy,Charmes-Chambertin,NA
310,France,Burgundy,Chassagne-Montrachet,NA
311,France,Burgundy,Chevalier-Montrachet,NA
312,France,Burgundy,Chorey-lès-Beaune,NA
313,France,Burgundy,Clos de la Roche,NA
314,France,Burgundy,Clos de Lambrays,NA
315,France,Burgundy,Clos de Tart,NA
316,France,Burgundy,Clos de Vougeot,NA
317,France,Burgundy,Clos Saint-Denis,NA
318,France,Burgundy,Corton,NA
319,France,Burgundy,Corton Grèves,NA
320,France,Burgundy,Corton Les Renardes,NA
321,France,Burgundy,Corton Perrières,NA
322,France,Burgundy,Corton Vergennes,NA
323,France,Burgundy,Corton-Bressandes,NA
324,France,Burgundy,Corton-Charlemagne,NA
325,France,Burgundy,Corton-Pougets,NA
326,France,Burgundy,Corton-Rognet,NA
327,France,Burgundy,Côte Chalonnaise,NA
328,France,Burgundy,Côte de Beaune,NA
329,France,Burgundy,Côte de Beaune-Villages,NA
330,France,Burgundy,Côte de Nuits-Villages,NA
331,France,Burgundy,Coteaux Bourguignons,NA
332,France,Burgundy,Côtes de Nuits Villages,NA
333,France,Burgundy,Crémant de Bourgogne,NA
334,France,Burgundy,Criots-Bâtard-Montrachet,NA
335,France,Burgundy,Echézeaux,NA
336,France,Burgundy,Fixin,NA
337,France,Burgundy,Gevrey-Chambertin,NA
338,France,Burgundy,Givry,NA
339,France,Burgundy,Grands-Echezeaux,NA
340,France,Burgundy,Hautes Cotes de Beaune,NA
341,France,Burgundy,Hautes Côtes de Nuits,NA
342,France,Burgundy,Irancy,NA
343,France,Burgundy,La Grande Rue,NA
344,France,Burgundy,La Romanée,NA
345,France,Burgundy,Ladoix,NA
346,France,Burgundy,Latricières-Chambertin,NA
347,France,Burgundy,Mâcon,NA
348,France,Burgundy,Mâcon Chaintré,NA
349,France,Burgundy,Mâcon La Roche Vineuse,NA
350,France,Burgundy,Mâcon Solutré,NA
351,France,Burgundy,Mâcon-Azé,NA
352,France,Burgundy,Macon-Bussières,NA
353,France,Burgundy,Mâcon-Chardonnay,NA
354,France,Burgundy,Mâcon-Charnay,NA
355,France,Burgundy,Mâcon-Cruzille,NA
356,France,Burgundy,Mâcon-Davayé,NA
357,France,Burgundy,Mâcon-Fuissé,NA
358,France,Burgundy,Mâcon-Loché,NA
359,France,Burgundy,Mâcon-Lugny,NA
360,France,Burgundy,Mâcon-Mancey,NA
361,France,Burgundy,Mâcon-Milly Lamartine,NA
362,France,Burgundy,Mâcon-Péronne,NA
363,France,Burgundy,Mâcon-Pierreclos,NA
364,France,Burgundy,Mâcon-Prissé,NA
365,France,Burgundy,Mâcon-Uchizy,NA
366,France,Burgundy,Mâcon-Vergisson,NA
367,France,Burgundy,Mâcon-Verze,NA
368,France,Burgundy,Mâcon-Villages,NA
369,France,Burgundy,Mâcon-Vinzelles,NA
370,France,Burgundy,Maranges,NA
371,France,Burgundy,Marsannay,NA
372,France,Burgundy,Mazis-Chambertin,NA
373,France,Burgundy,Mazoyeres-Chambertin,NA
374,France,Burgundy,Mercurey,NA
375,France,Burgundy,Meursault,NA
376,France,Burgundy,Meursault-Blagny,NA
377,France,Burgundy,Montagny,NA
378,France,Burgundy,Monthélie,NA
379,France,Burgundy,Montrachet,NA
380,France,Burgundy,Morey-Saint-Denis,NA
381,France,Burgundy,Musigny,NA
382,France,Burgundy,Nuits-St.-Georges,NA
383,France,Burgundy,Pernand-Vergelesses,NA
384,France,Burgundy,Petit Chablis,NA
385,France,Burgundy,Pommard,NA
386,France,Burgundy,Pouilly-Fuissé,NA
387,France,Burgundy,Pouilly-Loché,NA
388,France,Burgundy,Pouilly-Vinzelles,NA
389,France,Burgundy,Puligny-Montrachet,NA
390,France,Burgundy,Romanée-St.-Vivant,NA
391,France,Burgundy,Rully,NA
392,France,Burgundy,Saint-Aubin,NA
393,France,Burgundy,Saint-Bris,NA
394,France,Burgundy,Saint-Romain,NA
395,France,Burgundy,Saint-Véran,NA
396,France,Burgundy,Santenay,NA
397,France,Burgundy,Savigny-lès-Beaune,NA
398,France,Burgundy,St.-Romain,NA
399,France,Burgundy,Viré-Clessé,NA
400,France,Burgundy,Volnay,NA
401,France,Burgundy,Vosne-Romanée,NA
402,France,Burgundy,Vougeot,NA
403,France,Burgundy,NA,NA
404,France,Champagne,Champagne,NA
405,France,France Other,Apremont,NA
406,France,France Other,Arbois,NA
407,France,France Other,Atlantique,NA
408,France,France Other,Charentais,NA
409,France,France Other,Château-Chalon,NA
410,France,France Other,Chignin,NA
411,France,France Other,Chignin-Bergeron,NA
412,France,France Other,Corse,NA
413,France,France Other,Corse Porto Vecchio,NA
414,France,France Other,Côtes de Forez,NA
415,France,France Other,Côtes du Jura,NA
416,France,France Other,Crémant de Jura,NA
417,France,France Other,France,NA
418,France,France Other,Ile de Beauté,NA
419,France,France Other,Mediterranée,NA
420,France,France Other,Patrimonio,NA
421,France,France Other,Roussette de Savoie,NA
422,France,France Other,Savoie,NA
423,France,France Other,Vin de France,NA
424,France,France Other,Vin de Liqueur,NA
425,France,France Other,Vin de Pays de France,NA
426,France,France Other,Vin de Pays de l'Ile de Beauté,NA
427,France,France Other,Vin de Pays de la Méditerranée,NA
428,France,France Other,Vin de Pays des Portes de Méditerranée,NA
429,France,France Other,Vin de Savoie,NA
430,France,France Other,Vin de Table Francais,NA
431,France,France Other,Vin Mousseux,NA
432,France,France Other,Vin Pétillant,NA
433,France,France Other,NA,NA
434,France,Languedoc-Roussillon,Aude Hauterive,NA
435,France,Languedoc-Roussillon,Banyuls,NA
436,France,Languedoc-Roussillon,Blanquette de Limoux,NA
437,France,Languedoc-Roussillon,Cabardes,NA
438,France,Languedoc-Roussillon,Collioure,NA
439,France,Languedoc-Roussillon,Corbières,NA
440,France,Languedoc-Roussillon,Corbières-Boutenac,NA
441,France,Languedoc-Roussillon,Coteaux du Languedoc,NA
442,France,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,NA
443,France,Languedoc-Roussillon,Coteaux du Languedoc-Pézenas,NA
444,France,Languedoc-Roussillon,Côtes Catalanes,NA
445,France,Languedoc-Roussillon,Côtes de Thau,NA
446,France,Languedoc-Roussillon,Côtes de Thongue,NA
447,France,Languedoc-Roussillon,Côtes du Roussillon,NA
448,France,Languedoc-Roussillon,Côtes du Roussillon Les Aspres,NA
449,France,Languedoc-Roussillon,Côtes du Roussillon Villages,NA
450,France,Languedoc-Roussillon,Côtes du Roussillon Villages Caramany,NA
451,France,Languedoc-Roussillon,Côtes du Roussillon Villages Tautavel,NA
452,France,Languedoc-Roussillon,Crémant de Limoux,NA
453,France,Languedoc-Roussillon,Faugères,NA
454,France,Languedoc-Roussillon,Fitou,NA
455,France,Languedoc-Roussillon,Gard,NA
456,France,Languedoc-Roussillon,La Clape,NA
457,France,Languedoc-Roussillon,Languedoc,NA
458,France,Languedoc-Roussillon,Limoux,NA
459,France,Languedoc-Roussillon,Maury,NA
460,France,Languedoc-Roussillon,Maury Sec,NA
461,France,Languedoc-Roussillon,Minervois,NA
462,France,Languedoc-Roussillon,Minervois La Liviniere,NA
463,France,Languedoc-Roussillon,Muscat de Rivesaltes,NA
464,France,Languedoc-Roussillon,Muscat de Saint-Jean de Minervois,NA
465,France,Languedoc-Roussillon,Pays d'Oc,NA
466,France,Languedoc-Roussillon,Picpoul de Pinet,NA
467,France,Languedoc-Roussillon,Rivesaltes,NA
468,France,Languedoc-Roussillon,Rivesaltes Rosé,NA
469,France,Languedoc-Roussillon,Sable de Camargue,NA
470,France,Languedoc-Roussillon,Saint Guilhem le Désert,NA
471,France,Languedoc-Roussillon,Saint-Chinian,NA
472,France,Languedoc-Roussillon,Saint-Chinian-Roquebrun,NA
473,France,Languedoc-Roussillon,Terrasses du Larzac,NA
474,France,Languedoc-Roussillon,Vallée du Paradis,NA
475,France,Languedoc-Roussillon,Vin de Pays Cité de Carcassonne,NA
476,France,Languedoc-Roussillon,Vin de Pays d'Oc,NA
477,France,Languedoc-Roussillon,Vin de Pays de L'Aude,NA
478,France,Languedoc-Roussillon,Vin de Pays de L'Herault,NA
479,France,Languedoc-Roussillon,Vin de Pays de la Haute Vallée du Gassac,NA
480,France,Languedoc-Roussillon,Vin de Pays de Montferrand,NA
481,France,Languedoc-Roussillon,Vin de Pays des Coteaux de Bessilles,NA
482,France,Languedoc-Roussillon,Vin de Pays des Côtes Catalanes,NA
483,France,Languedoc-Roussillon,Vin de Pays du Val de Cesse,NA
484,France,Languedoc-Roussillon,NA,NA
485,France,Loire Valley,Anjou,NA
486,France,Loire Valley,Anjou Villages,NA
487,France,Loire Valley,Anjou Villages Brissac,NA
488,France,Loire Valley,Bonnezeaux,NA
489,France,Loire Valley,Bourgueil,NA
490,France,Loire Valley,Cabernet d'Anjou,NA
491,France,Loire Valley,Cabernet de Saumur,NA
492,France,Loire Valley,Châteaumeillant,NA
493,France,Loire Valley,Cheverny,NA
494,France,Loire Valley,Chinon,NA
495,France,Loire Valley,Côte Roannaise,NA
496,France,Loire Valley,Coteaux d'Ancenis,NA
497,France,Loire Valley,Coteaux du Giennois,NA
498,France,Loire Valley,Coteaux du Layon,NA
499,France,Loire Valley,Coteaux du Layon Beaulieu,NA
500,France,Loire Valley,Coteaux du Layon Chaume,NA
501,France,Loire Valley,Coteaux du Layon Saint Aubin,NA
502,France,Loire Valley,Coteaux du Vendômois,NA
503,France,Loire Valley,Cour-Cheverny,NA
504,France,Loire Valley,Crémant de Loire,NA
505,France,Loire Valley,Menetou-Salon,NA
506,France,Loire Valley,Montlouis-sur-Loire,NA
507,France,Loire Valley,Muscadet,NA
508,France,Loire Valley,Muscadet Coteaux de la Loire,NA
509,France,Loire Valley,Muscadet Côtes de Grandlieu,NA
510,France,Loire Valley,Muscadet Sèvre et Maine,NA
511,France,Loire Valley,Muscadet Sèvre et Maine Clisson,NA
512,France,Loire Valley,Pays de Loire,NA
513,France,Loire Valley,Pouilly-Fumé,NA
514,France,Loire Valley,Pouilly-sur-Loire,NA
515,France,Loire Valley,Quarts de Chaume,NA
516,France,Loire Valley,Quincy,NA
517,France,Loire Valley,Reuilly,NA
518,France,Loire Valley,Rosé d'Anjou,NA
519,France,Loire Valley,Rosé de Loire,NA
520,France,Loire Valley,Saint-Nicolas-de-Bourgueil,NA
521,France,Loire Valley,Sancerre,NA
522,France,Loire Valley,Saumur,NA
523,France,Loire Valley,Saumur-Champigny,NA
524,France,Loire Valley,Savennières,NA
525,France,Loire Valley,Savennières-Roche-Aux-Moines,NA
526,France,Loire Valley,Touraine,NA
527,France,Loire Valley,Touraine Amboise,NA
528,France,Loire Valley,Val de Loire,NA
529,France,Loire Valley,Vin de Pays du Jardin de la France,NA
530,France,Loire Valley,Vin de Pays du Val de Loire,NA
531,France,Loire Valley,Vouvray,NA
532,France,Loire Valley,NA,NA
533,France,Provence,Alpilles,NA
534,France,Provence,Bandol,NA
535,France,Provence,Coteaux d'Aix-en-Provence,NA
536,France,Provence,Coteaux de Verdon,NA
537,France,Provence,Coteaux Varois,NA
538,France,Provence,Coteaux Varois en Provence,NA
539,France,Provence,Côtes de Provence,NA
540,France,Provence,Côtes de Provence La Londe,NA
541,France,Provence,Côtes de Provence Sainte-Victoire,NA
